state,state_abbrev,bill_number,title,legiscan_bill_url,legiscan_text_url,year,status,collection_method
Tennessee,TN,SB0899,"AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 29 and Title 49, Chapter 6, Part 8, relative to school safety.",https://legiscan.com/TN/bill/SB0899/2025,https://legiscan.com/TN/text/SB0899/id/3101267,2025.0,Enacted,API_Pipeline_Mar2026
Tennessee,TN,SJR0039,A RESOLUTION to honor the memory of Josseline Jeanneth Escalante Vega and the other victims of the Antioch High School shooting.,https://legiscan.com/TN/bill/SJR0039/2025,https://legiscan.com/TN/text/SJR0039/id/3083729,2025.0,Passed,API_Pipeline_Mar2026
Tennessee,TN,SJR0171,A RESOLUTION to honor and commend School Resource Officer Chris Jennings of the Sumner County Sheriff's Office.,https://legiscan.com/TN/bill/SJR0171/2025,https://legiscan.com/TN/text/SJR0171/id/3138715,2025.0,Passed,API_Pipeline_Mar2026
Tennessee,TN,SJR0334,A RESOLUTION to honor the memory of Josselin Corea Escalante and the other victims of the Antioch High School shooting.,https://legiscan.com/TN/bill/SJR0334/2025,https://legiscan.com/TN/text/SJR0334/id/3190572,2025.0,Passed,API_Pipeline_Mar2026
Texas,TX,HB33,Relating to active shooter incidents at primary and secondary school facilities and other emergencies.,https://legiscan.com/TX/bill/HB33/2025,https://legiscan.com/TX/text/HB33/id/3150751,2025.0,Passed,API_Pipeline_Mar2026
Texas,TX,HB121,"Relating to measures for ensuring public school safety, including the commissioning of peace officers by the Texas Education Agency, the composition of the board of directors of the Texas School Safety Center, and public school safety and security requirements and resources.",https://legiscan.com/TX/bill/HB121/2025,https://legiscan.com/TX/text/HB121/id/3173372,2025.0,Passed,API_Pipeline_Mar2026
Texas,TX,SB260,Relating to the school safety allotment under the Foundation School Program.,https://legiscan.com/TX/bill/SB260/2025,https://legiscan.com/TX/text/SB260/id/3026435,2025.0,Passed,API_Pipeline_Mar2026
Utah,UT,HB0040,School Safety Amendments,https://legiscan.com/UT/bill/HB0040/2025,https://legiscan.com/UT/text/HB0040/id/3034836,2025.0,Passed,API_Pipeline_Mar2026
Virginia,VA,HB1961,Public elementary & secondary schools; bell-to-bell student cell phone & smart device possession.,https://legiscan.com/VA/bill/HB1961/2025,https://legiscan.com/VA/text/HB1961/id/3040358,2025.0,Enacted,API_Pipeline_Mar2026
Virginia,VA,HB2051,"Division superintendents, etc.; annual meetings on school grounds with local law enforcement.",https://legiscan.com/VA/bill/HB2051/2025,https://legiscan.com/VA/text/HB2051/id/3041117,2025.0,Enacted,API_Pipeline_Mar2026
Virginia,VA,HB2679,"School boards; threat assessment teams and procedures, etc.",https://legiscan.com/VA/bill/HB2679/2025,https://legiscan.com/VA/text/HB2679/id/3059823,2025.0,Enacted,API_Pipeline_Mar2026
Virginia,VA,SB738,Public elementary & secondary schools; bell-to-bell student cell phone & smart device possession.,https://legiscan.com/VA/bill/SB738/2025,https://legiscan.com/VA/text/SB738/id/3021434,2025.0,Enacted,API_Pipeline_Mar2026
West Virginia,WV,HB2164,To allow for public and private schools in West Virginia to employ security personnel.,https://legiscan.com/WV/bill/HB2164/2025,https://legiscan.com/WV/text/HB2164/id/3114812,2025.0,Passed,API_Pipeline_Mar2026
West Virginia,WV,HB3166,Requirements for School Safety Mapping Data,https://legiscan.com/WV/bill/HB3166/2025,https://legiscan.com/WV/text/HB3166/id/3153671,2025.0,Passed,API_Pipeline_Mar2026
Alabama,AL,HB385,Schools - Emergency Operations Plans And Alert Levels Including School Lockdowns,https://legiscan.com/AL/bill/HB385/2019,https://legiscan.com/AL/text/HB385/2019,2019.0,Passed,Both_Manual_and_API
Alabama,AL,HB91,"Education - Code Red Alert And Emergency Drills Including Safety, Security, Severe Weather, Fire And Code Red; Sets Time Frame For Drills",https://legiscan.com/AL/bill/HB91/2013,https://legiscan.com/AL/text/HB91/2013,2013.0,Passed,Manual_Curated
Alabama,AL,SB119,"Firearms, Revise Circumstances When Firearm Possession Is Prohibited",https://legiscan.com/AL/bill/SB119/2025,https://legiscan.com/AL/text/SB119/2025,2025.0,Enacted,Manual_Curated
Alabama,AL,SB383,"Schools, Security Personnel And Resource Officers Employed By Local Board Of Education Authorized To Carry A Firearm Under Certain Conditions, Sec. 13A-11-72 Am'D.",https://legiscan.com/AL/bill/SB383/2013,https://legiscan.com/AL/text/SB383/2013,2013.0,Passed,Manual_Curated
Arizona,AZ,SB1315,Emergency Response; Students With Disabilities,https://legiscan.com/AZ/bill/SB1315/2023,https://legiscan.com/AZ/text/SB1315/2023,2023.0,Passed,Manual_Curated
Arizona,AZ,SB1735,2025-2026; General Appropriations Act,https://legiscan.com/AZ/text/SB1735/id/3257263,https://legiscan.com/AZ/text/SB1735/id/3257263/Arizona-2025-SB1735-Introduced.html,2025.0,Enacted,Manual_Curated
Arkansas,AR,HB1372,Concerning The Carrying Of A Concealed Handgun By A Concealed Handgun Licensee On The Property Of A Private School.,https://legiscan.com/AR/bill/HB1372/2015,https://legiscan.com/AR/text/HB1372/2015,2015.0,Passed,Manual_Curated
California,CA,SB166,Emergency Preparedness: Community College Districts.,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=200720080SB166,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=200720080SB166,2007.0,Enacted,Manual_Curated
California,CA,AB870,Crime: School Grounds: Prohibited Weapons.,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=200920100AB870,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=200920100AB870,2009.0,Enacted,Manual_Curated
